ontology1,ontology2,metric,value,matcher,expid
cmt,confOf,recall,0.4375,YAM,exp1
iasted,sigkdd,recall,0.9333333333333333,YAM,exp1
cmt,ekaw,recall,0.5454545454545454,YAM,exp1
ekaw,sigkdd,recall,0.8181818181818182,YAM,exp1
edas,iasted,recall,0.42105263157894735,YAM,exp1
ekaw,iasted,recall,0.7,YAM,exp1
cmt,edas,recall,1,YAM,exp1
cmt,iasted,recall,1,YAM,exp1
confOf,iasted,recall,0.4444444444444444,YAM,exp1
edas,ekaw,recall,0.6521739130434783,YAM,exp1
cmt,sigkdd,recall,0.9166666666666666,YAM,exp1
confOf,edas,recall,0.631578947368421,YAM,exp1
confOf,sigkdd,recall,0.8571428571428571,YAM,exp1
edas,sigkdd,recall,0.8,YAM,exp1
confOf,ekaw,recall,0.75,YAM,exp1
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.4,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.6666666666666666,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,0.5714285714285714,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,0.75,LogMap,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.42857142857142855,COMA-RES2_SELFNODE-SIM_STR_EQUAL,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,0.6666666666666666,LogMap,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.3,COMA-RES2_PARENTS-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,exp2
source-segment-edas-iasted,target-segment-edas-iasted,recall,0.6,LogMap,exp2
source-segment-conference-edas,target-segment-conference-edas,recall,0.625,COMA,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,0.75,AML-WC-9,exp2
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.6666666666666666,LogMap,exp2
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.625,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,exp2
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.2,COMA-RES2_SELFPATH-SIM_STR_LEVENSHTEIN_LUCENE,exp2
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.75,COMA,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.2727272727272727,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.5,AML-SC-40,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.375,COMA-RES2_SELFPATH-SIM_STR_EDITDIST,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,0.6666666666666666,LogMap,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0.2,LogMap,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.5714285714285714,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,exp2
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.375,LogMap,exp3
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.375,COMA-RES2_PARENTS-SIM_STR_TRIGRAM_OPT,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,0.4444444444444444,AML-WC-11,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.25,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0.3333333333333333,COMA-RES2_SELFPATH-SIM_STR_JAROWINKLER,exp3
source-segment-edas-iasted,target-segment-edas-iasted,recall,1,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,0.6666666666666666,COMA-RES2_SELFNODE-SIM_STR_EQUAL,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,0.4,AML-SC-27,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,1,LogMap,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.2,COMA-RES2_PARENTS-SIM_STR_LEVENSHTEIN_LUCENE,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,0.5,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,exp3
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.2,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,exp3
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.25,LogMap,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.2222222222222222,LogMap,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.3333333333333333,YAM,exp3
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.6666666666666666,AML-SC-40,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.2,AML-SC-27,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.4,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,exp3
source-segment-conference-edas,target-segment-conference-edas,recall,0.3333333333333333,LogMap,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,recall,0.6666666666666666,COMA-RES2_SELFNODE-SIM_STR_EQUAL,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.5,AML-SC-50,exp3

